ticker,company_name,sector,sub_industry,e_scope2,e_combustion,e_fleet,e_process,e_fugitive,emissions_year,revenue_ttm,ebitda_ttm,fcf_ttm,net_debt,de,ben,de_ben_status,fossil_generation_share,renewable_generation_share,price,shares_outstanding,float_cap,flags
MMM,3M,Industrials,Industrial Conglomerates,1460000.0,400170.606,,606973.082924,0.0,2023.0,25180000000.0,6162000000.0,3985000000.0,9596000000.0,,,unclassified,,,164.97,515722417.0,84935796383.77986,
AOS,A. O. Smith,Industrials,Building Products,,,,,,,3804900000.0,758700000.0,639400000.0,456200000.0,,,unclassified,,,57.39,110047214.0,6315609611.46,float-cap-capped-listed-line
ABT,Abbott Laboratories,Health Care,Health Care Equipment,376296.70520253235,134386.892,,0.0,0.0,2023.0,45134000000.0,11836000000.0,7378000000.0,27244000000.0,,,unclassified,,,101.95,1730383296.0,175347041761.87045,scope2-imputed
ABBV,AbbVie,Health Care,Biotechnology,536806.8343415218,99777.824,,0.0,0.0,2023.0,64386000000.0,19484000000.0,18210000000.0,64253000000.0,,,unclassified,,,257.12,1767117285.0,453556966899.9669,scope2-imputed
ACN,Accenture,Information Technology,IT Consulting & Other Services,70659.0,2009.0267995726372,0.0,7240.973200427364,0.0,,73100595000.0,12330716000.0,12581688000.0,-1776475000.0,,,unclassified,,,183.9,611942109.0,112357209349.91354,category-split-imputed
ADBE,Adobe Inc.,Information Technology,Application Software,80104.0,1426.5176237397925,0.0,5141.482376260208,0.0,,25198000000.0,10131000000.0,10280000000.0,1726000000.0,,,unclassified,,,252.23,397500000.0,99941587122.83136,category-split-imputed
AMD,Advanced Micro Devices,Information Technology,Semiconductors,145832.0,11971.844996674954,0.0,43149.15500332505,0.0,,41305000000.0,10718000000.0,8403000000.0,-810000000.0,,,unclassified,,,516.13,1632475042.0,837909942646.8849,category-split-imputed
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,515000.0,18199398.878,,0.0,0.0,2023.0,13054000000.0,3816000000.0,-1720000000.0,30317000000.0,,,unclassified,,,14.79,713438630.0,10483276911.413914,ct-equal-split
AFL,Aflac,Financials,Life & Health Insurance,,,,,,,18286000000.0,,2647000000.0,2523000000.0,,,unclassified,,,115.28,501343298.0,57294351463.92928,
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,,,,,,,7372000000.0,2035000000.0,1267000000.0,2191000000.0,,,unclassified,,,146.93,281965813.0,41282137905.88098,
