ticker,year,assets_counted,combustion,fleet,process,fugitive,flags
VST,2024,1,77650.0,,,,
DUK,2024,0,,,,,
NEE,2024,0,,,,,
XEL,2024,0,,,,,
ETR,2024,0,,,,,
PSX,2024,2,,,3576440.237460833,,
MPC,2024,0,,,,,
D,2024,0,,,,,
EVRG,2024,0,,,,,
VLO,2024,3,63444.0,,4937157.125273452,,
NRG,2024,0,,,,,
DTE,2024,0,,,,,
CF,2024,2,,,2084917.4513611547,,
CVX,2024,4,296413.3333333333,,6467227.251978723,,ct-basin-aggregate-excluded
CMS,2024,0,,,,,
XOM,2024,20,1447743.3333333333,,27082895.41916076,,ct-basin-aggregate-excluded
AES,2024,1,2748100.0,,,,
APD,2024,0,,,,,
ALB,2024,1,,,,0.0,
APA,2024,3,610906.0,,,,
ADM,2024,0,,,,,
CAT,2024,0,,,,,
COP,2024,1,,,493141.91422683396,,ct-basin-aggregate-excluded
DAL,2024,0,,,,,
FCX,2024,7,,,,3627419.019858512,
IP,2024,5,24043.5,,528842.018255,,
KMB,2024,0,,,,,
MLM,2024,0,,,,,
NEM,2024,6,,,,580136.0004391477,
NUE,2024,0,,,,,
OXY,2024,0,,,,,ct-basin-aggregate-excluded
OKE,2024,0,,,,,
PKG,2024,0,,,,,
PM,2024,0,,,,,
PG,2024,0,,,,,
SLB,2024,0,,,,,ct-basin-aggregate-excluded
SW,2024,1,0.0,,,,
STLD,2024,0,,,,,
