ticker,source,category,tco2e,year,reference
MMM,GHGRP,combustion,400170.606,2023.0,EPA GHGRP 2023 data summary spreadsheets
MMM,GHGRP,process,606973.082924,2023.0,EPA GHGRP 2023 data summary spreadsheets
MMM,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
MMM,Wikirate/GRI,scope2,1460000.0,,Wikirate GRI 305-1 / 305-2
ABT,GHGRP,combustion,134386.892,2023.0,EPA GHGRP 2023 data summary spreadsheets
ABT,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
ABT,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
ABBV,GHGRP,combustion,99777.824,2023.0,EPA GHGRP 2023 data summary spreadsheets
ABBV,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
ABBV,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
ACN,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
ACN,Wikirate/GRI,combustion,2009.0267995726372,,Wikirate GRI 305-1 / 305-2
ACN,Wikirate/GRI,process,7240.973200427364,,Wikirate GRI 305-1 / 305-2
ACN,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
ACN,Wikirate/GRI,scope2,70659.0,,Wikirate GRI 305-1 / 305-2
ADBE,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
ADBE,Wikirate/GRI,combustion,1426.5176237397925,,Wikirate GRI 305-1 / 305-2
ADBE,Wikirate/GRI,process,5141.482376260208,,Wikirate GRI 305-1 / 305-2
ADBE,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
ADBE,Wikirate/GRI,scope2,80104.0,,Wikirate GRI 305-1 / 305-2
AMD,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
AMD,Wikirate/GRI,combustion,11971.844996674954,,Wikirate GRI 305-1 / 305-2
AMD,Wikirate/GRI,process,43149.15500332505,,Wikirate GRI 305-1 / 305-2
AMD,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
AMD,Wikirate/GRI,scope2,145832.0,,Wikirate GRI 305-1 / 305-2
AES,GHGRP,combustion,15451298.878,2023.0,EPA GHGRP 2023 data summary spreadsheets
AES,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
AES,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
AES,ClimateTRACE,combustion,2748100.0,,"Climate TRACE v7 sources 2024, verified owner, equal split"
AES,Wikirate/GRI,scope2,515000.0,,Wikirate GRI 305-1 / 305-2
APD,GHGRP,combustion,770208.1460000001,2023.0,EPA GHGRP 2023 data summary spreadsheets
APD,GHGRP,process,13302697.176,2023.0,EPA GHGRP 2023 data summary spreadsheets
APD,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
ALB,GHGRP,combustion,229671.722,2023.0,EPA GHGRP 2023 data summary spreadsheets
ALB,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
ALB,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
LNT,GHGRP,combustion,13637785.468,2023.0,EPA GHGRP 2023 data summary spreadsheets
LNT,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
LNT,GHGRP,fugitive,44862.600000000006,2023.0,EPA GHGRP 2023 data summary spreadsheets
LNT,Wikirate/GRI,scope2,13200000.0,,Wikirate GRI 305-1 / 305-2
ALL,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
ALL,Wikirate/GRI,combustion,56049.79859964832,,Wikirate GRI 305-1 / 305-2
ALL,Wikirate/GRI,process,0.0,,Wikirate GRI 305-1 / 305-2
ALL,Wikirate/GRI,fugitive,471.20140035167555,,Wikirate GRI 305-1 / 305-2
ALL,Wikirate/GRI,scope2,104350.0,,Wikirate GRI 305-1 / 305-2
MO,GHGRP,combustion,66467.196,2023.0,EPA GHGRP 2023 data summary spreadsheets
MO,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
MO,GHGRP,fugitive,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
AMZN,Wikirate/GRI,fleet,0.0,,Wikirate GRI 305-1 / 305-2
AMZN,Wikirate/GRI,combustion,13400000.0,,Wikirate GRI 305-1 / 305-2
AMZN,Wikirate/GRI,process,0.0,,Wikirate GRI 305-1 / 305-2
AMZN,Wikirate/GRI,fugitive,0.0,,Wikirate GRI 305-1 / 305-2
AMZN,Wikirate/GRI,scope2,2890000.0,,Wikirate GRI 305-1 / 305-2
AEE,GHGRP,combustion,19669522.87,2023.0,EPA GHGRP 2023 data summary spreadsheets
AEE,GHGRP,process,0.0,2023.0,EPA GHGRP 2023 data summary spreadsheets
