ticker,revenue_ttm,ebitda_ttm,fcf_ttm,net_debt,price,shares_outstanding,float_cap,cap_flag,fetch_error
MMM,25180000000.0,6162000000.0,3985000000.0,9596000000.0,164.97,515722417.0,84935796383.77986,,
AOS,3804900000.0,758700000.0,639400000.0,456200000.0,57.39,110047214.0,7645909507.990505,,
ABT,45134000000.0,11836000000.0,7378000000.0,27244000000.0,101.95,1730383296.0,175347041761.87045,,
ABBV,64386000000.0,19484000000.0,18210000000.0,64253000000.0,257.12,1767117285.0,453556966899.9669,,
ACN,73100595000.0,12330716000.0,12581688000.0,-1776475000.0,183.9,611942109.0,112357209349.91354,,
ADBE,25198000000.0,10131000000.0,10280000000.0,1726000000.0,252.23,397500000.0,99941587122.83136,,
AMD,41305000000.0,10718000000.0,8403000000.0,-810000000.0,516.13,1632475042.0,837909942646.8849,,
AES,13054000000.0,3816000000.0,-1720000000.0,30317000000.0,14.79,713438630.0,10483276911.413914,,
AFL,18286000000.0,,2647000000.0,2523000000.0,115.28,501343298.0,57294351463.929276,,
A,7372000000.0,2035000000.0,1267000000.0,2191000000.0,146.93,281965813.0,41282137905.88098,,
APD,12602200000.0,1683000000.0,-301400000.0,16687000000.0,291.43,222685530.0,64804442213.11818,,
ABNB,13159000000.0,2914000000.0,4860000000.0,-4325000000.0,170.19,419529556.0,98582339120.30548,,
AKAM,4322834000.0,1261233000.0,629879000.0,6082571000.0,106.79,143716609.0,14997420538.461658,,
ALB,5907904000.0,986287000.0,1342372000.0,245096000.0,117.52,118005057.0,13821219175.373297,,
ARE,2760944000.0,687779000.0,1279448000.0,12342425000.0,51.14,172095277.0,7909332776.12889,,
ALGN,4139532000.0,906705000.0,633569000.0,-981749000.0,150.82,71039852.0,10088199175.945488,,
ALLE,4288500000.0,1035500000.0,671100000.0,1710500000.0,153.35,85036786.0,12968538565.2577,,
LNT,4419000000.0,2025000000.0,1288000000.0,11725000000.0,67.26,259284699.0,17382637318.429974,,
ALL,69347000000.0,,12249000000.0,6652000000.0,253.71,252857950.0,63763186086.45074,,
GOOGL,445867000000.0,326758000000.0,53273000000.0,42254000000.0,338.5,5867155790.0,4139833098240.0,float-cap-fallback-market-cap,
GOOG,445867000000.0,326758000000.0,53273000000.0,42254000000.0,335.45,5527000000.0,4102531842048.0,float-cap-fallback-market-cap,
