ticker,status,fleet_tco2e,fiscal_year,filing_url,quotes,error
ABNB,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000004/abnb-20251231.htm,,
AZO,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/866787/000110465925102611/azo-20250830x10k.htm,,
BKNG,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000009/bkng-20251231.htm,,
CCL,extracted,8411920.569337772,2025.0,https://www.sec.gov/Archives/edgar/data/815097/000081509726000007/ccl-20251130.htm,Fuel consumption in metric tons (in millions) 2.8 2.9 2.9,
CHRW,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/1043277/000104327726000009/chrw-20251231.htm,,
CSX,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/277948/000027794826000006/csx-20251231.htm,,
CVNA,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/1690820/000169082026000009/cvna-20251231.htm,,
DAL,extracted,41622750.0,2025.0,https://www.sec.gov/Archives/edgar/data/27904/000002790426000013/dal-20251231.htm,"Fuel gallons consumed (in millions) 4,269",
EXPD,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/746515/000119312526071569/expd-20251231.htm,,
EXPE,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/1324424/000132442426000008/expe-20251231.htm,,
FAST,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/815556/000081555626000009/fast-20251231.htm,,
FDX,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/1048911/000104891126000105/fdx-20260531.htm,,
FDXF,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/2082247/000162828026053359/fdxf-20260531.htm,,
FERG,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/2011641/000201164125000027/ferg-20250731.htm,,
GPC,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/40987/000004098726000003/gpc-20251231.htm,,
HAS,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/46080/000004608026000011/has-20251228.htm,,
HLT,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/1585689/000158568926000007/hlt-20251231.htm,,
JBHT,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/728535/000143774926005294/jbht20251231_10k.htm,,
LUV,extracted,21147750.0,2024.0,https://www.sec.gov/Archives/edgar/data/92380/000009238026000004/luv-20251231.htm,"Fuel consumed, in gallons (millions) 2,169",
MAR,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/1048286/000104828626000007/mar-20251231.htm,,
NCLH,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/1513761/000110465926022067/nclh-20251231x10k.htm,,
NSC,extracted,3736860.000000001,2025.0,https://www.sec.gov/Archives/edgar/data/702165/000162828026006268/nsc-20251231.htm,We consumed approximately 366 million gallons of diesel fuel in 2025.,
ODFL,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/878927/000119312526067161/odfl-20251231.htm,,
ORLY,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/898173/000089817326000009/orly-20251231x10k.htm,,
RCL,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/884887/000088488726000007/rcl-20251231.htm,,
ROL,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/84839/000008483926000008/rol-20251231.htm,,
RSG,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/1060391/000106039126000094/rsg-20251231.htm,,
SYY,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/96021/000009602126000033/syy-20260627.htm,,
UAL,extracted,45464250.0,2025.0,https://www.sec.gov/Archives/edgar/data/100517/000010051726000023/ual-20251231.htm,"2025 4,663 $ 11,396 $ 2.44 21 %",
UBER,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/1543151/000154315126000015/uber-20251231.htm,,
UNP,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/100885/000010088526000037/unp-20251231.htm,,
UPS,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/1090727/000162828026008432/ups-20251231.htm,,
URI,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/1067701/000106770126000007/uri-20251231.htm,,
VLTO,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/1967680/000196768026000011/vlto-20251231.htm,,
WM,not-disclosed,,,https://www.sec.gov/Archives/edgar/data/823768/000110465926012049/wm-20251231x10k.htm,,
