ticker,status,fossil_share,renewable_share,nuclear_share,basis,quote
AES,not-found,,,,,
LNT,not-found,,,,,
AEE,not-found,,,,,
AEP,not-found,,,,,
AWK,not-found,,,,,
ATO,not-found,,,,,
CNP,not-found,,,,,
CMS,not-found,,,,,
ED,not-found,,,,,
CEG,not-found,,,,,
D,not-found,,,,,
DTE,not-found,,,,,
DUK,extracted,0.48,0.02,0.275,owned_generation_mwh,Natural gas and fuel oil (a) 33.5 % ... Nuclear (a) 27.5 % ... Coal (a) 14.5 % ... Hydroelectric and solar (b) 2.0 % ... Total generation 77.5 %
EIX,not-found,,,,,
ETR,not-found,,,,,
EVRG,extracted,0.54,0.28,0.18,owned_generation_mwh,"Fuel Mix (a) net kWh delivered Actual Actual Fuel 2025 2025 Coal 47 % 2.27¢ Wind, landfill gas and solar (b) 28 1.83 Uranium 18 0.64 Natural gas and oil 7 4.47 Total 100 % 2.02 (a) Fuel mix based on percent of net MWhs generated by owned resources and delivered under renewable power purchase agreements."
ES,not-found,,,,,
EXC,not-found,,,,,
FE,not-found,,,,,
NEE,not-found,,,,,
NI,not-found,,,,,
NRG,not-found,,,,,
PCG,not-found,,,,,
PNW,not-found,,,,,
PPL,not-found,,,,,
PEG,not-found,,,,,
SRE,not-found,,,,,
SO,not-found,,,,,
VST,not-found,,,,,
WEC,not-found,,,,,
XEL,not-found,,,,,
