ticker,year,total,reported_total,combustion,process,fugitive
ABBV,2023,99777.824,99777.824,99777.824,0.0,0.0
ABT,2023,134386.892,134386.892,134386.892,0.0,0.0
ADI,2023,117771.628108,117771.628108,12832.104,104939.524108,0.0
ADM,2023,10585367.606,10585367.606,10573786.856,0.0,11580.75
AEE,2023,19790344.6516,19790344.651600003,19669522.87,0.0,120821.7816
AEP,2023,51026433.9956,51026433.9956,50834862.764,0.0,191571.2316
AES,2023,15451298.877999999,15451298.878,15451298.877999999,0.0,0.0
ALB,2023,229671.722,229671.722,229671.722,0.0,0.0
AMGN,2023,61780.352,61780.352,61780.352,0.0,0.0
APA,2023,1037441.444,1037441.444,0.0,0.0,1037441.444
APD,2023,14072905.322,14072905.322,770208.1460000001,13302697.176,0.0
ARES,2023,1817717.564,1817717.564,1817717.564,0.0,0.0
ATO,2023,737121.0495584001,737121.0495584,121148.192,0.0,615972.8575584
AVGO,2023,34457.051985,34457.051985,13161.4,21295.651985,0.0
BA,2023,151144.822,151144.822,151144.822,0.0,0.0
BAX,2023,43203.836,43203.836,43203.836,0.0,0.0
BIIB,2023,28268.192,28268.192,28268.192,0.0,0.0
BMY,2023,95102.73999999999,95102.73999999999,95102.73999999999,0.0,0.0
BRK-B,2023,59530517.371162094,59547851.8191621,58989180.572,45424.5,495912.2991621
CAT,2023,456901.738,456901.738,300110.238,0.0,156791.5
CEG,2023,8941320.546,8941320.546,8941169.546,0.0,151.0
CF,2023,20579424.174,20579424.174,5789971.109999999,14789453.064,0.0
CMS,2023,17396454.118,17396454.118,17169054.104000002,0.0,227400.014
CNP,2023,4233525.3872,4233525.3872,3741577.852,0.0,491947.53520000004
COP,2023,9102584.254,9102584.254,1200814.306,160.0,7901609.948
CTVA,2023,82753.73999999999,82753.73999999999,82753.73999999999,0.0,0.0
CVX,2023,21236041.803999998,21236041.803999998,11370685.516,5041147.96,4824208.328
D,2023,29554935.001199998,29554935.001199998,28387484.264,0.0,1167450.7372
DAL,2023,1256096.862,1256096.862,842329.4519999999,413767.41,0.0
DD,2023,180836.70799999998,180836.70799999998,180836.70799999998,0.0,0.0
DE,2023,45075.88,45075.88,45075.88,0.0,0.0
DOW,2023,16348450.162400002,16348450.1624,13490574.914,2639039.196,218836.0524
DTE,2023,23189088.15,23189088.15,22637116.812,208651.44,343319.898
DUK,2023,73741584.2212,73741584.2212,73268493.18,0.0,473091.0412
DVN,2023,4366295.996,4366295.996,0.0,0.0,4366295.996
ED,2023,2697527.378,2697527.378,2463230.61,0.0,234296.76799999998
EIX,2023,1101786.0468,1101786.0468000001,1056295.2359999998,0.0,45490.8108
EOG,2023,5541343.59,5541343.59,265985.996,0.0,5275357.594
EQT,2023,420523.02,420523.02,0.0,0.0,420523.02
ES,2023,206262.3,206262.3,0.0,0.0,206262.3
