ticker,member,revenue,fiscal_year,filing_url,quote
CEG,Mid-Atlantic,6487000000.0,2025,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000032/ceg-20251231.htm,"Mid-Atlantic $ 6,487 $ 5,522 $ 965 17.5 %"
CEG,Midwest,5804000000.0,2025,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000032/ceg-20251231.htm,"Midwest 5,804 4,805 999 20.8 %"
CEG,New York,2190000000.0,2025,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000032/ceg-20251231.htm,"New York 2,190 2,050 140 6.8 %"
CEG,ERCOT,1904000000.0,2025,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000032/ceg-20251231.htm,"ERCOT 1,904 1,550 354 22.8 %"
CEG,Other Power Regions,5583000000.0,2025,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000032/ceg-20251231.htm,"Other Power Regions 5,583 5,506 77 1.4 %"
EME,United States electrical construction and facilities services,5074252000.0,2025,https://www.sec.gov/Archives/edgar/data/105634/000010563426000025/eme-20251231.htm,"United States electrical construction and facilities services $ 5,074,252 $ 3,342,927 $ 2,783,723"
EME,United States mechanical construction and facilities services,7050481000.0,2025,https://www.sec.gov/Archives/edgar/data/105634/000010563426000025/eme-20251231.htm,"United States mechanical construction and facilities services 7,050,481 6,405,657 5,074,803"
EME,United States building services,3122242000.0,2025,https://www.sec.gov/Archives/edgar/data/105634/000010563426000025/eme-20251231.htm,"United States building services 3,122,242 3,114,817 3,120,134"
EME,United States industrial services,1268099000.0,2025,https://www.sec.gov/Archives/edgar/data/105634/000010563426000025/eme-20251231.htm,"United States industrial services 1,268,099 1,277,190 1,167,790"
EME,United Kingdom building services,471348000.0,2025,https://www.sec.gov/Archives/edgar/data/105634/000010563426000025/eme-20251231.htm,"United Kingdom building services 471,348 425,525 436,423"
EL,Skin Care,7338000000.0,2026,https://www.sec.gov/Archives/edgar/data/1001250/000100125026000041/el-20260630.htm,"Segment net sales $ 7,338 $ 4,276 $ 2,779 $ 565 $ 14,958"
EL,Makeup,4276000000.0,2026,https://www.sec.gov/Archives/edgar/data/1001250/000100125026000041/el-20260630.htm,"Segment net sales $ 7,338 $ 4,276 $ 2,779 $ 565 $ 14,958"
EL,Fragrance,2779000000.0,2026,https://www.sec.gov/Archives/edgar/data/1001250/000100125026000041/el-20260630.htm,"Segment net sales $ 7,338 $ 4,276 $ 2,779 $ 565 $ 14,958"
EL,Hair Care,565000000.0,2026,https://www.sec.gov/Archives/edgar/data/1001250/000100125026000041/el-20260630.htm,"Segment net sales $ 7,338 $ 4,276 $ 2,779 $ 565 $ 14,958"
FAST,U.S.,6818900000.0,2025,https://www.sec.gov/Archives/edgar/data/815556/000081555626000009/fast-20251231.htm,"U.S. net sales from external customers $ 6,818.9 6,273.1 6,139.8"
LYB,O&P - Americas,7669000000.0,2025,https://www.sec.gov/Archives/edgar/data/1489393/000148939326000012/lyb-20251231.htm,"Customers $ 7,669 $ 9,611 $ 8,953 $ 3,457 $ 463 $ — $ 30,153"
LYB,O&P - EAI,9611000000.0,2025,https://www.sec.gov/Archives/edgar/data/1489393/000148939326000012/lyb-20251231.htm,"Customers $ 7,669 $ 9,611 $ 8,953 $ 3,457 $ 463 $ — $ 30,153"
LYB,I&D,8953000000.0,2025,https://www.sec.gov/Archives/edgar/data/1489393/000148939326000012/lyb-20251231.htm,"Customers $ 7,669 $ 9,611 $ 8,953 $ 3,457 $ 463 $ — $ 30,153"
LYB,APS,3457000000.0,2025,https://www.sec.gov/Archives/edgar/data/1489393/000148939326000012/lyb-20251231.htm,"Customers $ 7,669 $ 9,611 $ 8,953 $ 3,457 $ 463 $ — $ 30,153"
LYB,Technology,463000000.0,2025,https://www.sec.gov/Archives/edgar/data/1489393/000148939326000012/lyb-20251231.htm,"Customers $ 7,669 $ 9,611 $ 8,953 $ 3,457 $ 463 $ — $ 30,153"
NEE,FPL,18262000000.0,2025,https://www.sec.gov/Archives/edgar/data/753308/000075330826000015/nee-20251231.htm,"Operating revenues $ 18,262 $ 8,760 $ 27,022"
NEE,NEER,8760000000.0,2025,https://www.sec.gov/Archives/edgar/data/753308/000075330826000015/nee-20251231.htm,"Operating revenues $ 18,262 $ 8,760 $ 27,022"
PNW,Regulated Electricity Segment,5340000000.0,2025,https://www.sec.gov/Archives/edgar/data/764622/000076462226000011/pnw-20251231.htm,"Regulated Electricity Segment $ 5,340"
