ticker,adsh,ddate,axis,tag,member,revenue,filing_url
MMM,0000066740-26-000014,20251231,BusinessSegments,Revenues,ConsumerSegment,4920000000.0,https://www.sec.gov/Archives/edgar/data/66740/000006674026000014/
MMM,0000066740-26-000014,20251231,BusinessSegments,Revenues,SafetyAndIndustrialSegment,11384000000.0,https://www.sec.gov/Archives/edgar/data/66740/000006674026000014/
MMM,0000066740-26-000014,20251231,BusinessSegments,Revenues,TransportationAndElectronicsSegment,8272000000.0,https://www.sec.gov/Archives/edgar/data/66740/000006674026000014/
AOS,0000091142-26-000008,20251231,BusinessSegments,RevenueFromContractWithCustomerExcludingAssessedTax,ReportableSegments,3830200000.0,https://www.sec.gov/Archives/edgar/data/91142/000009114226000008/
AOS,0000091142-26-000008,20251231,BusinessSegments,RevenueFromContractWithCustomerExcludingAssessedTax,RestOfWorld,880400000.0,https://www.sec.gov/Archives/edgar/data/91142/000009114226000008/
AOS,0000091142-26-000008,20251231,BusinessSegments,RevenueFromContractWithCustomerExcludingAssessedTax,NorthAmericaSegment,2984200000.0,https://www.sec.gov/Archives/edgar/data/91142/000009114226000008/
AES,0000874761-26-000063,20251231,BusinessSegments,Revenues,NewEnergyTechnologies,1000000.0,https://www.sec.gov/Archives/edgar/data/874761/000087476126000063/
AES,0000874761-26-000063,20251231,BusinessSegments,Revenues,Renewables,2913000000.0,https://www.sec.gov/Archives/edgar/data/874761/000087476126000063/
AES,0000874761-26-000063,20251231,BusinessSegments,Revenues,Utilities,4122000000.0,https://www.sec.gov/Archives/edgar/data/874761/000087476126000063/
AES,0000874761-26-000063,20251231,BusinessSegments,Revenues,EnergyInfrastructure,5402000000.0,https://www.sec.gov/Archives/edgar/data/874761/000087476126000063/
AES,0000874761-26-000063,20251231,BusinessSegments,Revenues,AESAndes,900000000.0,https://www.sec.gov/Archives/edgar/data/874761/000087476126000063/
APD,0000002969-25-000055,20250930,ProductOrService,Revenues,Merchant,5336900000.0,https://www.sec.gov/Archives/edgar/data/2969/000000296925000055/
APD,0000002969-25-000055,20250930,ProductOrService,Revenues,Onsite,6180400000.0,https://www.sec.gov/Archives/edgar/data/2969/000000296925000055/
APD,0000002969-25-000055,20250930,ProductOrService,Revenues,SaleofEquipment,520000000.0,https://www.sec.gov/Archives/edgar/data/2969/000000296925000055/
ABNB,0001559720-26-000004,20251231,BusinessSegments,RevenueFromContractWithCustomerExcludingAssessedTax,ReportableSegment,12241000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000004/
ALB,0000915913-26-000018,20251231,BusinessSegments,Revenues,Specialties,1366435000.0,https://www.sec.gov/Archives/edgar/data/915913/000091591326000018/
