ticker,cik,adsh,period,status,filing_url
MMM,66740,0000066740-26-000014,20251231,tagged,https://www.sec.gov/Archives/edgar/data/66740/000006674026000014/
AOS,91142,0000091142-26-000008,20251231,tagged,https://www.sec.gov/Archives/edgar/data/91142/000009114226000008/
AES,874761,0000874761-26-000063,20251231,tagged,https://www.sec.gov/Archives/edgar/data/874761/000087476126000063/
APD,2969,0000002969-25-000055,20250930,tagged,https://www.sec.gov/Archives/edgar/data/2969/000000296925000055/
ABNB,1559720,0001559720-26-000004,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000004/
ALB,915913,0000915913-26-000018,20251231,tagged,https://www.sec.gov/Archives/edgar/data/915913/000091591326000018/
ALLE,1579241,0001579241-26-000007,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1579241/000157924126000007/
LNT,352541,0000352541-26-000007,20251231,tagged,https://www.sec.gov/Archives/edgar/data/352541/000035254126000007/
MO,764180,0000764180-26-000017,20251231,tagged,https://www.sec.gov/Archives/edgar/data/764180/000076418026000017/
AMZN,1018724,0001018724-26-000004,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/
AMCR,1748790,0001748790-25-000023,20250630,tagged,https://www.sec.gov/Archives/edgar/data/1748790/000174879025000023/
AEE,1002910,0001002910-26-000009,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1002910/000100291026000009/
AEP,4904,0000004904-26-000013,20251231,tagged,https://www.sec.gov/Archives/edgar/data/4904/000000490426000013/
AWK,1410636,0001410636-26-000034,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1410636/000141063626000034/
AME,1037868,0001037868-26-000016,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1037868/000103786826000016/
APA,1841666,0001841666-26-000015,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1841666/000184166626000015/
APTV,1521332,0001521332-26-000009,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1521332/000152133226000009/
ADM,7084,0000007084-26-000011,20251231,tagged,https://www.sec.gov/Archives/edgar/data/7084/000000708426000011/
ATO,731802,0000731802-25-000056,20250930,tagged,https://www.sec.gov/Archives/edgar/data/731802/000073180225000056/
ADP,8670,0000008670-25-000037,20250630,tagged,https://www.sec.gov/Archives/edgar/data/8670/000000867025000037/
AZO,866787,0001104659-25-102611,20250831,tagged,https://www.sec.gov/Archives/edgar/data/866787/000110465925102611/
AVY,8818,0000008818-26-000015,20251231,tagged,https://www.sec.gov/Archives/edgar/data/8818/000000881826000015/
AXON,1069183,0001628280-26-011360,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1069183/000162828026011360/
BKR,1701605,0001701605-26-000007,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1701605/000170160526000007/
BALL,9389,0001104659-26-017410,20251231,tagged,https://www.sec.gov/Archives/edgar/data/9389/000110465926017410/
BBY,764478,0000764478-26-000009,20260131,tagged,https://www.sec.gov/Archives/edgar/data/764478/000076447826000009/
BA,12927,0001628280-26-004357,20251231,tagged,https://www.sec.gov/Archives/edgar/data/12927/000162828026004357/
BKNG,1075531,0001075531-26-000009,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000009/
BR,1383312,0001628280-25-037656,20250630,tagged,https://www.sec.gov/Archives/edgar/data/1383312/000162828025037656/
BF-B,14693,0000014693-26-000024,20260430,tagged,https://www.sec.gov/Archives/edgar/data/14693/000001469326000024/
BLDR,1316835,0001193125-26-054643,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1316835/000119312526054643/
BG,1996862,0001628280-26-009842,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1996862/000162828026009842/
CHRW,1043277,0001043277-26-000009,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1043277/000104327726000009/
CCL,815097,0000815097-26-000007,20251130,tagged,https://www.sec.gov/Archives/edgar/data/815097/000081509726000007/
CARR,1783180,0001783180-26-000008,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1783180/000178318026000008/
CVNA,1690820,0001690820-26-000009,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1690820/000169082026000009/
CASY,726958,0000726958-26-000046,20260430,tagged,https://www.sec.gov/Archives/edgar/data/726958/000072695826000046/
CAT,18230,0000018230-26-000008,20251231,tagged,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/
CNP,1130310,0001130310-26-000008,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1130310/000113031026000008/
CF,1324404,0001324404-26-000007,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1324404/000132440426000007/
CVX,93410,0000093410-26-000078,20251231,untagged,https://www.sec.gov/Archives/edgar/data/93410/000009341026000078/
CMG,1058090,0001058090-26-000009,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1058090/000105809026000009/
CHD,313927,0001193125-26-048139,20251231,tagged,https://www.sec.gov/Archives/edgar/data/313927/000119312526048139/
CTAS,723254,0000723254-25-000017,20250531,tagged,https://www.sec.gov/Archives/edgar/data/723254/000072325425000017/
CLX,21076,0000021076-25-000039,20250630,tagged,https://www.sec.gov/Archives/edgar/data/21076/000002107625000039/
CMS,811156,0000811156-26-000004,20251231,tagged,https://www.sec.gov/Archives/edgar/data/811156/000081115626000004/
KO,21344,0001628280-26-010047,20251231,tagged,https://www.sec.gov/Archives/edgar/data/21344/000162828026010047/
CL,21665,0000021665-26-000006,20251231,tagged,https://www.sec.gov/Archives/edgar/data/21665/000002166526000006/
FIX,1035983,0001104659-26-017530,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1035983/000110465926017530/
COP,1163165,0001163165-26-000009,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1163165/000116316526000009/
ED,1047862,0001047862-26-000031,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1047862/000104786226000031/
STZ,16918,0000016918-26-000011,20260228,tagged,https://www.sec.gov/Archives/edgar/data/16918/000001691826000011/
CEG,1868275,0001868275-26-000032,20251231,untagged,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000032/
CPRT,900075,0001628280-25-042946,20250731,tagged,https://www.sec.gov/Archives/edgar/data/900075/000162828025042946/
CTVA,1755672,0001755672-26-000004,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1755672/000175567226000004/
COST,909832,0000909832-25-000101,20250831,tagged,https://www.sec.gov/Archives/edgar/data/909832/000090983225000101/
CRH,849395,0001628280-26-009043,20251231,tagged,https://www.sec.gov/Archives/edgar/data/849395/000162828026009043/
CSX,277948,0000277948-26-000006,20251231,tagged,https://www.sec.gov/Archives/edgar/data/277948/000027794826000006/
CMI,26172,0000026172-26-000009,20251231,tagged,https://www.sec.gov/Archives/edgar/data/26172/000002617226000009/
DRI,940944,0000940944-25-000038,20250531,tagged,https://www.sec.gov/Archives/edgar/data/940944/000094094425000038/
DECK,910521,0001628280-26-037664,20260331,tagged,https://www.sec.gov/Archives/edgar/data/910521/000162828026037664/
DE,315189,0001104659-25-122321,20251031,tagged,https://www.sec.gov/Archives/edgar/data/315189/000110465925122321/
DAL,27904,0000027904-26-000013,20251231,tagged,https://www.sec.gov/Archives/edgar/data/27904/000002790426000013/
DVN,1090012,0001193125-26-056485,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1090012/000119312526056485/
FANG,1539838,0001539838-26-000010,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1539838/000153983826000010/
DG,29534,0001104659-26-032325,20260131,tagged,https://www.sec.gov/Archives/edgar/data/29534/000110465926032325/
DLTR,935703,0000935703-26-000025,20260131,tagged,https://www.sec.gov/Archives/edgar/data/935703/000093570326000025/
D,715957,0001193125-26-063120,20251231,tagged,https://www.sec.gov/Archives/edgar/data/715957/000119312526063120/
DPZ,1286681,0001193125-26-062321,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1286681/000119312526062321/
DASH,1792789,0001792789-26-000013,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1792789/000179278926000013/
DOV,29905,0000029905-26-000009,20251231,tagged,https://www.sec.gov/Archives/edgar/data/29905/000002990526000009/
