ticker,company_name,sector,sub_industry,quarter_end,revenue_q,net_income_q,ebitda_q,total_assets_q,net_debt_q,free_cash_flow_q,asset_turnover,profit_to_revenue,fcf_to_revenue,net_debt_to_ebitda,full_time_employees,controversy_level,total_esg_risk_score,wikirate_matched,scope2_year,scope2_tco2e,scope1_2_total_tco2e,renewable_fuel_pct,renewable_fuel_pct_year,controversy_score_ordinal,emissions_intensity_per_revenue,asset_turnover_zscore,profit_to_revenue_zscore,fcf_to_revenue_zscore,net_debt_to_ebitda_zscore,full_time_employees_zscore,total_esg_risk_score_zscore,controversy_score_ordinal_zscore,scope1_2_total_tco2e_zscore,emissions_intensity_per_revenue_zscore,scope1_source,scope1_tco2e,scope1_year
MMM,3M,Industrials,Industrial Conglomerates,2026-06-30,6500000000.0,933000000.0,1657000000.0,34924000000.0,9596000000.0,763000000.0,0.1861184285877906,0.1435384615384615,0.1173846153846153,5.791188895594448,60500.0,Severe Controversy Level,37.3,True,2022.0,1460000.0,2467143.688924,,,5.0,9.489014188169232e-05,-0.3142704118851516,0.123562168959884,-0.2771757372400898,-0.0673694883770816,0.1184814787046131,1.8513985963962256,3.191870790714689,0.2255610707850582,0.5878593745581907,EPA GHGRP,1007143.688924,2023.0
AOS,A. O. Smith,Industrials,Building Products,2026-06-30,1004300000.0,124900000.0,190700000.0,3644500000.0,456200000.0,114400000.0,0.2755659212512004,0.1243652295130937,0.1139101861993428,2.3922391190351338,11500.0,Low Controversy Level,25.4,False,,,,,,1.0,,0.3761171522296463,-0.1079055660096814,-0.3070686674717516,-0.6579006670326786,-0.6352480439632856,0.1714553121493496,-0.9309623139584512,,,,,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,2026-03-31,11164000000.0,1077000000.0,2426000000.0,110429000000.0,27244000000.0,916000000.0,0.1010966322252306,0.0964707989967753,0.0820494446434969,11.230008244023082,122000.0,Significant Controversy Level,24.8,True,,,,,,3.0,,-0.5475930057026887,0.1162024173596381,0.0042462917489413,0.4273024079817225,1.0440457292151757,0.8309517390936144,0.9319330346109536,,,EPA GHGRP,134386.892,2023.0
ABBV,AbbVie,Health Care,Biotechnology,2026-06-30,16990000000.0,3613000000.0,6907000000.0,135115000000.0,64253000000.0,3114000000.0,0.1257447359656588,0.2126545026486168,0.1832842848734549,9.302591573765746,57000.0,Significant Controversy Level,29.9,True,,,,,,3.0,,-0.4459900068470363,0.2693571413102545,0.1907025692999087,0.198816653058705,0.0448217734025219,1.8150687479475904,0.9319330346109536,,,EPA GHGRP,99777.824,2023.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,2026-05-31,18718144000.0,2338989000.0,3528417000.0,68806561000.0,-1776475000.0,3599988000.0,0.2720401038499802,0.1249583826259697,0.1923261195127038,-0.5034764881815273,799000.0,Moderate Controversy Level,9.8,True,2021.0,70659.0,79909.0,,,2.0,1.0672666050651176e-06,0.9909100047059732,0.0155075570975603,-0.1674636455874616,-0.4541504642544373,6.839057471884391,-1.4471367515028053,0.7648433665565884,-0.579052950883184,-0.4856833627108916,Wikirate/GRI,9250.0,2021.0
ADBE,Adobe Inc.,Information Technology,Application Software,2026-05-31,6618000000.0,1712000000.0,2496000000.0,29933000000.0,1726000000.0,2107000000.0,0.2210937760999565,0.2586884255061952,0.3183741311574494,0.6915064102564102,31360.0,Moderate Controversy Level,13.1,True,2022.0,80104.0,86672.0,,,2.0,3.274100936838924e-06,0.4350493041746333,0.1665156578421515,0.563126798859089,-0.2809386280001358,-0.2230305445141836,-0.7043703127168277,0.7648433665565884,-0.5752613607797679,-0.4105490309452774,Wikirate/GRI,6568.0,2022.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,2026-06-30,11536000000.0,2297000000.0,3353000000.0,84464000000.0,-810000000.0,1558000000.0,0.1365788975184694,0.1991158113730929,0.1350554785020804,-0.2415747092156278,31000.0,,,True,2014.0,145832.0,200953.0,,,,4.3549107142857145e-06,-0.4870681808015971,0.0992462012348031,-0.4994116273423519,-0.4161880062876736,-0.2263424507279081,,,-0.5111911687631339,-0.3737515608203064,Wikirate/GRI,55121.0,2014.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,2026-06-30,3422000000.0,426000000.0,1251000000.0,54238000000.0,30317000000.0,-597000000.0,0.063092296913603,0.1244886031560491,-0.1744593804792519,24.23421262989608,8336.0,Moderate Controversy Level,26.7,True,2022.0,515000.0,16192526.79,,,2.0,0.0011829724422852132,0.3505082718624768,-0.1543014575571375,-0.0324633856885693,0.5061927044598133,-0.6213862293691622,-0.0028254730613925,-0.0932054649001802,-0.2402832194657691,0.2513907202842712,EPA GHGRP,15677526.79,2023.0
AFL,Aflac,Financials,Life & Health Insurance,2026-06-30,4194000000.0,825000000.0,,115961000000.0,2523000000.0,112000000.0,0.0361673321202818,0.1967095851216022,0.0267048164043872,,12716.0,Low Controversy Level,18.3,True,,,,,,1.0,,-0.4217613803852599,-0.1104868696812546,-0.5426628209117882,,-0.4508819181015842,-0.6102344820117549,-0.9121932667690076,,,,,
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2026-07-31,1878000000.0,362000000.0,539000000.0,13967000000.0,2191000000.0,439000000.0,0.1344597980955108,0.1927582534611288,0.2337593184238551,4.064935064935065,18200.0,Moderate Controversy Level,13.6,True,,,,,,2.0,,-0.4100652778321255,0.2431296717410822,0.2836684577597468,-0.42208173384165,-0.551638064836416,-1.3302463979974708,-0.2452455354239353,,,,,
APD,Air Products,Materials,Industrial Gases,2026-06-30,3161000000.0,-1440800000.0,-1502900000.0,40445600000.0,16687000000.0,309500000.0,0.0781543604248669,-0.4558051249604555,0.097912053147738,-11.103200479073791,21087.0,Low Controversy Level,12.3,True,,,,,,1.0,,-1.2927669206374557,-3.6217273968171706,0.0730418006582948,-1.2676798126051478,-0.5133251510861716,-1.8052745593825863,-1.224744871391589,,,,,
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2026-06-30,3608000000.0,816000000.0,934000000.0,28754000000.0,-4325000000.0,1270000000.0,0.125478194338179,0.2261640798226164,0.3519955654101995,-4.630620985010706,8200.0,,,True,,,,,,,,-1.1160015072606848,1.264116033824053,2.0574567641444537,0.0271927879962584,-0.4978695305925179,,,,,,,
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2026-06-30,1099682000.0,79404000.0,291226000.0,15073420000.0,6082571000.0,100513000.0,0.0729550427175783,0.0722063287386717,0.0914018779974574,20.886085033616503,11000.0,Low Controversy Level,17.0,True,,,,,,1.0,,-1.1812497256159076,-0.044060115927355,-0.7524334955829381,2.646249744575337,-0.4103372403792701,0.1734445694847824,-0.3186847360652452,,,,,
ALB,Albemarle Corporation,Materials,Specialty Chemicals,2026-06-30,1743313000.0,479959000.0,628374000.0,15905095000.0,245096000.0,638266000.0,0.1096072044838462,0.275314300988979,0.3661224346976131,0.3900479650653909,7800.0,Moderate Controversy Level,26.6,True,,,,,,2.0,,-0.8563213762286274,1.2143490210123462,1.592634700953269,-0.5517352784650178,-1.026515892314627,0.2863804418295613,0.0,,,EPA GHGRP,229671.722,2023.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2026-06-30,643210000.0,-72783000.0,329757000.0,34632226000.0,12342425000.0,336968000.0,0.0185725861225322,-0.1131558899892725,0.5238848898493493,37.42884912223243,514.0,None Controversy Level,13.9,True,,,,,,0.0,,-0.635085764323232,-2.2468714949643203,0.6521408367878634,2.543834520596432,-0.298028970201993,0.2448181212237222,-1.38105539261752,,,,,
ALGN,Align Technology,Health Care,Health Care Supplies,2026-06-30,1056192000.0,108294000.0,232858000.0,6417581000.0,-981749000.0,157092000.0,0.1645778993673784,0.1025324940919832,0.1487343210325395,-4.216084480670624,20435.0,,,True,,,,,,,,-0.2859141690374647,0.1241930150923577,0.127067780795632,-1.4037558220694732,-0.517280133432704,,,,,,,
ALLE,Allegion,Industrials,Building Products,2026-06-30,1151500000.0,184600000.0,288400000.0,5360800000.0,1710500000.0,180500000.0,0.2148000298462916,0.1603126356925749,0.1567520625271385,5.930998613037448,13300.0,None Controversy Level,21.8,False,,,,,,0.0,,-0.0928956115620053,0.3260674164998157,0.0615297847542467,-0.0430790449587925,-0.6075600206816076,-0.3367628242614697,-1.961670590126736,,,,,
LNT,Alliant Energy,Utilities,Electric Utilities,2026-03-31,1184000000.0,224000000.0,528000000.0,24813000000.0,11725000000.0,368000000.0,0.0477169225809051,0.1891891891891892,0.3108108108108108,22.206439393939394,2948.0,None Controversy Level,21.4,True,2022.0,13200000.0,26837785.468000002,,,0.0,0.005666762134290541,-0.163884870719515,0.667897741154083,2.1759800144487493,0.0303537105376094,-1.4117553294786105,-1.4004928140968735,-2.7029584821052204,-0.8025169881623665,1.923047762185027,EPA GHGRP,13637785.468,2023.0
ALL,Allstate,Financials,Property & Casualty Insurance,2026-06-30,18336000000.0,3271000000.0,,124756000000.0,6652000000.0,2591000000.0,0.1469748949950303,0.1783922338568935,0.1413067190226876,,53000.0,Moderate Controversy Level,22.0,True,2016.0,104350.0,160871.0,,,2.0,2.193376417975567e-06,1.38076539309805,-0.2515577307803378,-0.2606780888210148,,0.149402807609434,0.2240193330865557,0.2189263840245619,-0.2733695344348259,-0.2980725268246103,Wikirate/GRI,56521.0,2016.0
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2026-06-30,119796000000.0,112193000000.0,147135000000.0,921983000000.0,42254000000.0,-5855000000.0,0.1299329814107201,0.9365337740826072,-0.0488747537480383,0.2871784415672681,198933.0,High Controversy Level,24.2,True,,,,,,4.0,,-0.2689032257187476,1.241240414147082,-1.2141864755284313,-0.7197462189931799,1.9606674760451588,0.4817699983799038,1.5569978883230462,,,,,
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2026-06-30,119796000000.0,112193000000.0,147135000000.0,921983000000.0,42254000000.0,-5855000000.0,0.1299329814107201,0.9365337740826072,-0.0488747537480383,0.2871784415672681,198933.0,,,True,,,,,,,,-0.2689032257187476,1.241240414147082,-1.2141864755284313,-0.7197462189931799,1.9606674760451588,,,,,,,
MO,Altria,Consumer Staples,Tobacco,2026-06-30,5356000000.0,2298000000.0,3280000000.0,33374000000.0,22210000000.0,662000000.0,0.160484209264697,0.4290515309932786,0.1235997012696041,6.771341463414634,5900.0,Significant Controversy Level,31.3,True,,,,,,3.0,,-0.6044075842342562,1.6972056746378708,0.0352356497847159,-0.1932261893584035,-0.3867779665846322,1.1266410314480984,0.7421423002352378,,,EPA GHGRP,66467.196,2023.0
